;sigma;sigma.err;ampl;ampl.err;fval;chi2;chi2dof;filename;humidity;filter;obsmjd;ccdid;amp_id;gain;readnoi;darkcur;magzp;magzpunc;magzprms;clrcoeff;clrcounc;zpclrcov;zpmed;zpavg;zprmsall;clrmed;clravg;clrrms;qid;rcid;seeing;maglim;status;filterid;fieldid;moonalt;moonillf;target_x;target_y;data_hasnan;F0;F0.err;Fratio;Fratio.err;upper_limit;mag;mag_err
0;6.964738340608594;0.19430361838160826;-15.00224477929252;23.943293131806758;4199.724672808131;623.85546875;1.0013731440609952;ztf_20181104254167_000397_zr_c12_o.fits;22.0;ZTF_r;58426.2541782;12;0;6.2;10.0;1.0;26.257510999999997;1.33314e-05;0.023191999999999997;0.107214;1.85267e-05;-1E-02;26.332001;26.341775;0.041338;773;0.7859999999999999;0.31916500000000003;1;44;1.892;21.31;1;2;397;-49.0459;-0.137036;691.1468075003297;1118.3159747277646;FALSE;31842297821.868183;390981.1677294305;-4.711420282298063e-10;7.519335842676509e-10;21.31;99.0;99.0
1;12.045327641781556;0.3504548976076549;-31.374533187587968;46.26928959790902;4884.47905499337;623.74169921875;1.0011905284410112;ztf_20180928394931_001441_zg_c02_o.fits;29.0;ZTF_g;58389.3949306;2;0;6.2;10.0;1.0;26.311598999999998;5.1610299999999996e-05;0.043615;-0.115273;8.802239999999999e-05;-6E-02;26.235001;26.230581;0.055942;635;703;0.303902;1;4;2.501;20.47;1;1;1441;65.4165;-0.8879290000000001;1931.4291474898585;84.92177844313619;FALSE;33468758283.529343;1590932.1694077926;-9.374274636005249e-10;1.3824620928561527e-09;20.47;99.0;99.0
2;15.482730222244113;0.4382706013661361;49.884585485499365;68.91580107903637;5198.194498770072;623.6207885742188;1.0009964503599016;ztf_20200207116771_000397_zr_c12_o.fits;40.0;ZTF_r;58886.1168056;12;0;6.1;8.9;1.0;26.218514000000003;3.8756e-05;0.039202;0.130626;5.2575500000000005e-05;-4E-02;26.315001000000002;26.322631;0.057224000000000004;785;797;0.31913400000000003;1;44;2.6430000000000002;19.9;1;2;397;46.1665;0.935723;729.8301321208518;1069.0590392548022;FALSE;30718895743.87082;1096529.265794057;1.6239055564180746e-09;2.243433542554709e-09;19.9;99.0;99.0
3;14.747942098202666;0.4187543055596826;-98.16131722707676;73.2072201157545;5137.571513440382;623.787109375;1.0012634179373996;ztf_20190208101215_000397_zr_c12_o.fits;61.0;ZTF_r;58522.101238400006;12;0;6.2;10.0;1.0;26.193229000000002;3.8933e-05;0.038465;0.119468;5.3106099999999996e-05;-4E-02;26.283001000000002;26.288217;0.054039;0.7809999999999999;795;0.317713;1;44;2.748;19.78;1;2;397;18.8181;0.0908906;673.9341925252774;1142.5228004655314;FALSE;30011769343.115414;1076180.5774873362;-3.2707607507184376e-09;2.439283714446182e-09;19.78;99.0;99.0
4;12.479675242632613;0.3551674750253845;-78.24957860090744;58.167014421348505;4928.765495119923;623.75341796875;1.0012093386336276;ztf_20180701459954_000397_zg_c12_o.fits;38.0;ZTF_g;58300.4599653;12;0;6.2;10.0;1.0;26.192102;3.79027e-05;0.035115;-0.042033999999999995;6.28953e-05;-4E-02;26.164501;26.162105;0.03739;633;0.7140000000000001;0.305548;1;44;2.603;20.18;1;1;397;37.7605;-0.908093;642.0408476367307;1229.5479666458016;FALSE;29980633128.251057;1046614.2128172896;-2.6100042072551184e-09;1.940152972642865e-09;20.18;99.0;99.0
5;8.51653926785969;0.2309408405404473;-68.82728117547312;31.816535907320123;4451.0514759094185;623.6859130859375;1.001100984086577;ztf_20180804438519_000397_zr_c12_o.fits;14.0;ZTF_r;58334.43851849999;12;0;6.2;10.0;1.0;26.266099;1.67668e-05;0.025381;0.11311900000000001;2.27657e-05;-2E-02;26.349501;26.356219;0.044122;785;797;0.319046;1;44;2.127;20.89;1;2;397;42.6971;-0.537099;604.9633296600331;1197.0163309175653;FALSE;32095164060.179573;495638.99076580885;-2.1444751317182713e-09;9.913186879312016e-10;20.89;99.0;99.0
6;5.851345932846536;0.16759475778498284;-30.57705365236637;20.294214929921374;3981.976628291748;623.8955078125;1.0014374122191012;ztf_20190824433993_001441_zr_c02_o.fits;41.0;ZTF_r;58719.4339931;2;0;6.2;10.0;1.0;26.108629;1.71744e-05;0.027022000000000004;0.10780899999999999;2.3710700000000003e-05;-2E-02;26.186001;26.193157;0.044766;785;784;0.331054;1;4;1.76;21.26;1;2;1441;36.3071;-0.41860699999999995;2010.1339702401535;208.28670807663482;FALSE;27762054343.20999;439145.92147016234;-1.1013973704667454e-09;7.310055187125818e-10;21.26;99.0;99.0
7;14.735362690523406;0.4105628730200664;16.808086268088484;57.84862221024046;5136.481982520947;623.7796020507812;1.0012513676577548;ztf_20180826382188_001441_zr_c02_o.fits;4.0;ZTF_r;58356.3822685;2;0;6.2;10.0;1.0;26.265383;2.62542e-05;0.032868;0.106762;3.58362e-05;-3E-02;26.339001;26.349808000000003;0.04799;0.7959999999999999;0.7909999999999999;0.327534;1;4;2.31;20.14;1;2;1441;39.1034;0.9999180000000001;1890.4449764469439;276.9292160768296;FALSE;32074005548.759575;775581.9072698548;5.240407607505237e-10;1.8035983102804405e-09;20.14;99.0;99.0
8;9.109672085672843;0.1585867098507357;0.07567604947242144;50.600356918577006;4535.474438968015;625.1314086914062;1.003421201751856;ztf_20181128251562_000397_zg_c12_o.fits;24.0;ZTF_g;58450.2518056;12;0;6.2;10.0;1.0;25.112852;0.00013207530000000002;0.043835;-0.086575;0.0002648041;-0.00017384;25.054001;25.056019;0.049293000000000003;603;0.6559999999999999;0.260416;1;44;3.2760000000000002;19.23;1;1;397;5.22492;-0.698526;694.9020028442458;1133.9970326133234;FALSE;11095344724.51235;1349702.6042526045;6.820522602171558e-12;4.560503361990114e-09;19.23;99.0;99.0
9;9.979356025599511;0.2859422638136595;-16.23930479353678;35.921385404755235;4649.260910916058;623.7767944335938;1.0012468610491072;ztf_20180921332292_000397_zr_c12_o.fits;54.0;ZTF_r;58382.3323032;12;0;6.2;10.0;1.0;26.286782000000002;1.93739e-05;0.02802;0.118157;2.63585e-05;-2E-02;26.371;26.380815999999996;0.04695;782;0.7959999999999999;0.318835;1;44;1.9140000000000001;20.88;1;2;397;23.5003;0.8700129999999999;675.201310051245;911.4572044972837;FALSE;32712429523.97186;583721.2902886142;-4.964261300627799e-10;1.0980959203779293e-09;20.88;99.0;99.0
10;3.730442962077975;0.1065794440712399;-4.374094233644952;15.012722525109728;3419.3256283416526;623.9810791015625;1.001574765813102;ztf_20180812435081_000397_zg_c12_o.fits;66.0;ZTF_g;58342.43511569999;12;0;6.2;10.0;1.0;26.104832000000002;2E-02;0.030476999999999997;-0.049921;3.25468e-05;-3E-02;26.069000000000003;26.065486;0.03442;0.7709999999999999;0.7879999999999999;0.320405;1;44;2.04;21.76;1;1;397;-39.7409;0.0156746;655.9440813020311;1168.205985708583;FALSE;27665135393.64613;600321.3183993463;-1.5810854244543307e-10;5.426585596562002e-10;21.76;99.0;99.0
