,sigma,sigma.err,ampl,ampl.err,fval,chi2,chi2dof,filename,humidity,filter,obsmjd,ccdid,amp_id,gain,readnoi,darkcur,magzp,magzpunc,magzprms,clrcoeff,clrcounc,zpclrcov,zpmed,zpavg,zprmsall,clrmed,clravg,clrrms,qid,rcid,seeing,maglim,status,filterid,fieldid,moonalt,moonillf,target_x,target_y,data_hasnan,F0,F0.err,Fratio,Fratio.err,upper_limit,mag,mag_err
0,11.631481668565216,0.3246013952755145,-22.03296649949986,47.311024179067495,4840.854867219263,623.8265380859375,1.0013267063979736,ztf_20180406184884_000667_zr_c15_o.fits,29.0,ZTF_r,58214.18535880001,15,3,6.2,10.0,1.0,22.918497,0.0008763584,0.088281,0.134474,0.0015266578,-0.00108874,23.014,23.014397,0.094748,0.6759999999999999,0.713,0.25583,4,59,1.9469999999999998,17.42,1,2,667,-34.7605,-0.697919,549.5760735123525,1359.7635359947176,False,1470275769.455135,1186741.7842674858,-1.4985601311830764e-08,3.217833586353501e-08,17.42,99.0,99.0
1,19.35752363610349,0.5536275916331458,47.43739333412865,75.90056918836407,5477.483661140011,623.6721801757812,1.0010789408921048,ztf_20180406202674_000667_zr_c15_o.fits,26.0,ZTF_r,58214.2027199,15,3,2.86086800007688,10.0,1.0,26.275,2.7628499999999998e-05,0.042198,0.11709100000000001,3.8999000000000004e-05,-3.026e-05,25.5,25.506161,0.056920000000000005,0.757,0.7759999999999999,0.326241,4,59,2.061,20.03,1,2,667,-29.772,-0.696404,548.6499225931453,1362.2020993209655,False,32359365692.96281,823441.9476204067,1.4659555995080848e-09,2.3455518231764756e-09,20.03,99.0,99.0
2,10.908758073688832,0.31216433456946513,-126.25682387666788,60.99139848410447,4760.654634017321,623.8216552734375,1.0013188688177166,ztf_20180406361968_000667_zi_c15_o.fits,25.0,ZTF_i,58214.361979199995,15,3,6.2,10.0,1.0,23.889824,5.5172799999999995e-05,0.05774,0.186915,0.00018435790000000002,-8e-05,23.951,23.970939,0.084912,0.311,0.434,0.33308499999999996,4,59,3.161,17.76,1,3,667,13.2054,-0.682283,562.672570635894,1315.7067199500032,False,3596910237.9873743,182780.68678997312,-3.510146640393061e-08,1.69566085295707e-08,17.76,99.0,99.0
3,6.493126811909238,0.18532080806999174,17.39076193656703,23.673553824978818,4112.030849682398,623.7909545898438,1.001269590031852,ztf_20180409213773_000667_zr_c15_o.fits,40.0,ZTF_r,58217.213796300006,15,3,5.37013954426703,10.0,1.0,26.275,9.7044e-06,0.02496,0.10444300000000001,1.38064e-05,-1.068e-05,26.184,26.190884,0.041982,0.737,0.774,0.3232,4,59,2.0,21.18,1,2,667,-55.0235,-0.41658900000000004,551.1690523751029,1395.1290437161956,False,32359365692.96281,289230.68702562485,5.374259218050432e-10,7.315827525827373e-10,21.18,99.0,99.0
4,7.33291837968003,0.21266648372310631,-7.171950127769289,26.509411988801407,4264.152949705125,623.8812255859375,1.00141448729685,ztf_20180409245648_000667_zr_c15_o.fits,42.0,ZTF_r,58217.2458681,15,3,5.29832586830114,10.0,1.0,26.275,9.2023e-06,0.024373,0.10653299999999999,1.29647e-05,-1.008e-05,26.166,26.175182,0.042303,0.757,0.777,0.324556,4,59,2.1069999999999998,21.17,1,2,667,-45.9247,-0.413642,559.8274824071808,1394.7945755212847,False,32359365692.96281,274266.0598507798,-2.2163444722060708e-10,8.192191478782942e-10,21.17,99.0,99.0
5,7.007328815997482,0.19544370286922494,64.85396699707161,27.3280935767845,4207.5741193521735,624.08251953125,1.0017375915429374,ztf_20180410262257_000667_zr_c15_o.fits,7.0,ZTF_r,58218.262268499995,15,3,5.16880734135563,10.0,1.0,26.275,1.0422000000000001e-05,0.025702,0.10668399999999999,1.4658e-05,-1.141e-05,26.139999,26.151172,0.043019,0.757,0.779,0.323362,4,59,2.156,20.99,1,2,667,-49.6255,-0.320104,557.9714331163989,1360.2708843934633,False,32359365692.96281,310618.0928425315,2.004179179914376e-09,8.445188278155344e-10,20.99,99.0,99.0
6,5.729376594796632,0.15589874182339586,53.22871481581957,27.03776940387486,3955.624128282731,623.84130859375,1.0013504150782504,ztf_20180411212500_000667_zr_c15_o.fits,18.0,ZTF_r,58219.212523099995,15,3,5.95747497701375,10.0,1.0,26.275,1.02221e-05,0.025509999999999998,0.11703,1.4433499999999998e-05,-1.121e-05,26.291999999999998,26.305135999999997,0.045755000000000004,0.755,0.7759999999999999,0.324561,4,59,2.58,20.99,1,2,667,-68.068,-0.23743899999999998,548.0782619744742,1357.5204882661567,False,32359365692.96281,304660.2578051853,1.6449245427389579e-09,8.355469530850257e-10,20.99,99.0,99.0
7,6.7555737144183245,0.18783152813432455,-52.937515904985105,35.628461963945504,4161.643823825754,623.8901977539062,1.0014288888505718,ztf_20180414256493_000667_zr_c15_o.fits,11.0,ZTF_r,58222.256516199996,15,3,5.72257348548244,10.0,1.0,26.275,9.675e-06,0.025016,0.10311,1.3819700000000001e-05,-1.066e-05,26.252001,26.260109000000003,0.041717000000000004,0.7340000000000001,0.772,0.323766,4,59,2.924,20.64,1,2,667,-59.6042,-0.0385746,562.947403759274,1382.156515041271,False,32359365692.96281,288354.4471551997,-1.635925636097911e-09,1.101024732843156e-09,20.64,99.0,99.0
8,20.307086567936533,0.5772958354290699,8.271739268678884,78.31258960715769,5537.3520928317275,623.6727905273438,1.0010799205896368,ztf_20180416172130_000667_zr_c15_o.fits,16.0,ZTF_r,58224.1721875,15,3,2.42679941990977,10.0,1.0,26.275,2.48629e-05,0.039467,0.102125,3.54054e-05,-2.739e-05,25.320999,25.326915,0.051378999999999994,0.746,0.774,0.32211999999999996,4,59,2.008,20.03,1,2,667,-23.554000000000002,0.000124833,551.6628864764376,1425.1247023982573,False,32359365692.96281,741015.7916459964,2.5562118080941673e-10,2.4200903797201877e-09,20.03,99.0,99.0
9,11.42802119246368,0.31911719326566473,-19.94996003194711,40.90915428024864,4818.729227704887,623.79150390625,1.0012704717596308,ztf_20180416189074_000667_zr_c15_o.fits,10.0,ZTF_r,58224.18957180001,15,3,3.53645180167905,10.0,1.0,26.275,1.35443e-05,0.029401,0.113353,1.9261199999999998e-05,-1.491e-05,25.729,25.737998,0.04693,0.7390000000000001,0.774,0.322691,4,59,1.874,20.67,1,2,667,-27.9917,0.000173893,555.7611651916111,1425.7376781784042,False,32359365692.96281,403675.3631632219,-6.165127036555487e-10,1.264213726225856e-09,20.67,99.0,99.0
10,9.066266017473602,0.25333632775433435,65.56854931465192,34.62842809601913,4529.5024900739,623.8953247070312,1.0014371183098414,ztf_20180416230093_000667_zr_c15_o.fits,11.0,ZTF_r,58224.2301157,15,3,4.45724803253097,10.0,1.0,26.275,1.1056400000000001e-05,0.026641,0.10881400000000001,1.5689200000000002e-05,-1.215e-05,25.979,25.989303,0.044154,0.746,0.775,0.323594,4,59,1.992,20.88,1,2,667,-37.4608,0.000311237,558.6059486273123,1418.9855785917975,False,32359365692.96281,329525.7994342895,2.0262618846361104e-09,1.0701207320014658e-09,20.88,99.0,99.0
11,6.133034345186411,0.1752999764093793,-17.185964186619643,29.178520475876702,4040.724841577901,623.8558959960938,1.0013738298492676,ztf_20180421160231_000667_zg_c15_o.fits,54.0,ZTF_g,58229.1602546,15,3,6.2,10.0,1.0,26.377090999999997,2.1707399999999998e-05,0.037153,-0.127853,3.16217e-05,-2.416e-05,26.288,26.279427000000002,0.055347,0.727,0.764,0.320866,4,59,3.003,21.09,1,1,667,41.956,0.303881,550.1884268579362,1430.5697579206785,False,35549737644.21827,710754.9435638598,-4.834343465095791e-10,8.207801916829434e-10,21.09,99.0,99.0
12,7.017007510039147,0.2035305027204623,5.753284362949718,28.717570005104353,4209.1265429157265,623.882080078125,1.0014158588733948,ztf_20180421190556_000667_zr_c15_o.fits,54.0,ZTF_r,58229.19057869999,15,3,5.991307206289131,10.0,1.0,26.275,8.7344e-06,0.023735,0.098511,1.2412e-05,-9.61e-06,26.301001,26.308182000000002,0.039757,0.7390000000000001,0.774,0.323761,4,59,2.585,20.98,1,2,667,33.1109,0.307142,552.5214831939437,1431.7156126319028,False,32359365692.96281,260320.73211704154,1.7779348388775385e-10,8.874577541977857e-10,20.98,99.0,99.0
13,12.401892007145012,0.35225556393926205,-61.05389099683817,45.46122188045296,4920.990130358818,623.78662109375,1.001262634179374,ztf_20180425225394_000667_zg_c15_o.fits,22.0,ZTF_g,58233.22541669999,15,3,6.2,10.0,1.0,26.33718,1.76462e-05,0.032757,-0.067054,2.8471e-05,-2.056e-05,26.291,26.28875,0.038914,0.648,0.722,0.313285,4,59,1.885,20.76,1,1,667,61.2032,0.75152,558.6430124939145,1410.2282496074688,False,34266677717.702778,556927.7746216736,-1.7817277618745234e-09,1.3266889269453867e-09,20.76,99.0,99.0
14,13.230220098981269,0.3762659283346981,2.8432660428240637,54.626147156551426,5001.764719981114,623.716796875,1.0011505567817014,ztf_20180428153391_000667_zg_c15_o.fits,64.0,ZTF_g,58236.15344909999,15,3,6.2,10.0,1.0,26.322619,2.10159e-05,0.035533999999999996,-0.051690999999999994,3.47571e-05,-2.476e-05,26.291,26.285794,0.039015,0.632,0.7120000000000001,0.311661,4,59,2.148,20.47,1,1,667,37.236999999999995,0.960458,552.8264946241495,1381.590332309798,False,33810189117.39035,654442.1659315065,8.409494643618018e-11,1.615671150697056e-09,20.47,99.0,99.0
15,12.98119420210098,0.3623022187229205,42.57612926084729,55.66806603516515,4978.147009978033,623.9129638671875,1.0014654315685192,ztf_20180428204919_000667_zg_c15_o.fits,53.0,ZTF_g,58236.20498840001,15,3,6.2,10.0,1.0,26.293838,2.80783e-05,0.040619999999999996,-0.02016,4.6244e-05,-3.301e-05,26.278000000000002,26.279445000000003,0.041105,0.632,0.7140000000000001,0.312229,4,59,2.0780000000000003,20.38,1,1,667,48.0426,0.9626170000000001,555.8273331444701,1362.817602471226,False,32925713887.075436,851494.1918524505,1.2930966176426625e-09,1.690717055884579e-09,20.38,99.0,99.0
