date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2020 Jul 09",2459039.8099,"r", -16.53, 19.22,0.09, 20.39,"P48+ZTF","3","None","None",True,True
"2020 Jul 11",2459041.6712,"i", -16.63, 19.12,0.13, 19.84,"P48+ZTF","2","None","None",True,True
"2020 Jul 12",2459042.7493,"r", -16.38, 19.37,0.13, 20.72,"P48+ZTF","1","None","None",True,True
"2020 Jul 15",2459045.7293,"r", -16.45, 19.30,0.09, 20.81,"P48+ZTF","1","None","None",True,True
"2020 Jul 15",2459045.7615,"g", -15.47, 20.28,0.19, 20.84,"P48+ZTF","1","None","None",True,True
"2020 Jul 15",2459045.8078,"i", -16.31, 19.44,0.15, 20.17,"P48+ZTF","2","None","None",True,True
"2020 Jul 18",2459048.7464,"r", -16.37, 19.38,0.14, 20.69,"P48+ZTF","3","None","None",True,True
"2020 Jul 18",2459048.7473,"r", -16.33, 19.41,0.15, 20.72,"P48+ZTF","1","None","None",True,True
"2020 Jul 19",2459049.7674,"i", -16.29, 19.46,0.11, 20.31,"P48+ZTF","2","None","None",True,True
"2020 Jul 19",2459049.8458,"r", -16.28, 19.47,0.12, 20.59,"P48+ZTF","3","None","None",True,True
"2020 Jul 20",2459050.7905,"r", -16.35, 19.40,0.10, 20.59,"P48+ZTF","3","None","None",True,True
"2020 Jul 21",2459051.7437,"r", -16.31, 19.43,0.15, 20.68,"P48+ZTF","3","None","None",True,True
"2020 Jul 21",2459051.8121,"g", -15.35, 20.40,0.20, 20.68,"P48+ZTF","1","None","None",True,True
"2020 Jul 22",2459052.7543,"r", -16.31, 19.43,0.11, 20.70,"P48+ZTF","3","None","None",True,True
"2020 Jul 22",2459052.7747,"g", -15.38, 20.37,0.21, 20.85,"P48+ZTF","3","None","None",True,True
"2020 Jul 23",2459053.7529,"i", -16.26, 19.49,0.15, 20.29,"P48+ZTF","2","None","None",True,True
"2020 Jul 24",2459054.8521,"r", -16.26, 19.48,0.11, 20.40,"P48+ZTF","1","None","None",True,True
"2020 Jul 24",2459054.8539,"r", -16.23, 19.52,0.17, 20.48,"P48+ZTF","3","None","None",True,True
"2020 Jul 26",2459056.6895,"r", -16.27, 19.48,0.16, 20.59,"P48+ZTF","3","None","None",True,True
"2020 Jul 27",2459057.8204,"r", -16.23, 19.52,0.16, 20.54,"P48+ZTF","3","None","None",True,True
"2020 Jul 27",2459057.8327,"r", -16.24, 19.50,0.17, 20.51,"P48+ZTF","1","None","None",True,True
"2020 Jul 29",2459059.6684,"r", -16.22, 19.53,0.13, 20.16,"P48+ZTF","3","None","None",True,True
"2020 Jul 29",2459059.7527,"i", -16.27, 19.48,0.16, 19.79,"P48+ZTF","2","None","None",True,True
"2020 Jul 31",2459061.7533,"r", -16.14, 19.61,0.17, 20.02,"P48+ZTF","3","None","None",True,True
"2020 Aug 02",2459063.7108,"i", -16.16, 19.59,0.20, 19.71,"P48+ZTF","2","None","None",True,True
"2020 Aug 02",2459063.7803,"r", -16.27, 19.48,0.19, 19.78,"P48+ZTF","3","None","None",True,True
"2020 Aug 03",2459064.7963,"r", -16.30, 19.45,0.21, 19.38,"P48+ZTF","3","None","None",True,True
"2020 Aug 04",2459065.6867,"r", -16.25, 19.50,0.16, 19.73,"P48+ZTF","3","None","None",True,True
"2020 Aug 05",2459066.7382,"r", -16.04, 19.71,0.20, 20.12,"P48+ZTF","1","None","None",True,True
"2020 Aug 06",2459067.6855,"r", -16.22, 19.53,0.11, 20.54,"P48+ZTF","3","None","None",True,True
"2020 Aug 06",2459067.7321,"i", -16.24, 19.51,0.16, 19.98,"P48+ZTF","2","None","None",True,True
"2020 Aug 08",2459069.7157,"r", -16.05, 19.70,0.17, 20.72,"P48+ZTF","3","None","None",True,True
"2020 Aug 08",2459069.7167,"r", -16.10, 19.65,0.13, 20.75,"P48+ZTF","1","None","None",True,True
"2020 Aug 10",2459071.6941,"r", -16.21, 19.54,0.17, 20.26,"P48+ZTF","3","None","None",True,True
"2020 Aug 11",2459072.6916,"r", -16.15, 19.60,0.11, 20.63,"P48+ZTF","3","None","None",True,True
"2020 Aug 11",2459072.6925,"r", -16.04, 19.71,0.16, 20.55,"P48+ZTF","1","None","None",True,True
"2020 Aug 12",2459073.7001,"r", -16.02, 19.72,0.16, 20.66,"P48+ZTF","3","None","None",True,True
"2020 Aug 14",2459075.7150,"r", -16.09, 19.65,0.18, 20.03,"P48+ZTF","3","None","None",True,True
"2020 Aug 14",2459075.7159,"r", -16.05, 19.70,0.12, 20.34,"P48+ZTF","1","None","None",True,True
"2020 Aug 15",2459076.7079,"r", -16.04, 19.71,0.14, 20.62,"P48+ZTF","3","None","None",True,True
