date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2018 Dec 13",2458466.0558,"r", -27.65, 18.07,0.09, 19.56,"P48+ZTF","2","None","None",True,True
"2018 Dec 13",2458466.0607,"r", -27.68, 18.05,0.12, 19.43,"P48+ZTF","2","None","None",True,True
"2018 Dec 13",2458466.0656,"r", -27.70, 18.03,0.08, 19.25,"P48+ZTF","2","None","None",True,True
"2018 Dec 13",2458466.0705,"r", -27.68, 18.05,0.11, 18.80,"P48+ZTF","2","None","None",True,True
"2018 Dec 15",2458468.0565,"r", -27.21, 18.52,0.09, 20.18,"P48+ZTF","2","None","None",True,True
"2018 Dec 16",2458469.0587,"r", -27.05, 18.68,0.12, 20.06,"P48+ZTF","2","None","None",True,True
"2018 Dec 16",2458469.0635,"r", 99.0, 99.0,99.0, 20.04,"P48+ZTF","2","None","None",True,False
"2018 Dec 16",2458469.0635,"r", 99.0, 99.0,99.0, 20.04,"P48+ZTF","2","None","None",True,True
"2018 Dec 16",2458469.0684,"r", -26.96, 18.77,0.11, 19.95,"P48+ZTF","2","None","None",True,True
"2018 Dec 24",2458477.0371,"r", -26.97, 18.76,0.20, 19.68,"P48+ZTF","1","None","None",True,True
"2018 Dec 28",2458481.0250,"g", 99.0, 99.0,99.0, 19.14,"P48+ZTF","1","None","None",True,False
"2018 Dec 28",2458481.0250,"g", 99.0, 99.0,99.0, 19.14,"P48+ZTF","1","None","None",True,True
"2019 Jan 04",2458488.0158,"g", 99.0, 99.0,99.0, 20.47,"P48+ZTF","1","None","None",True,False
"2019 Jan 04",2458488.0158,"g", 99.0, 99.0,99.0, 20.47,"P48+ZTF","1","None","None",True,True
"2019 Jan 04",2458488.0482,"r", 99.0, 99.0,99.0, 20.32,"P48+ZTF","1","None","None",True,False
"2019 Jan 04",2458488.0482,"r", 99.0, 99.0,99.0, 20.32,"P48+ZTF","1","None","None",True,True
"2019 Jan 08",2458492.0157,"g", -26.15, 19.58,0.26, 19.63,"P48+ZTF","1","None","None",True,False
"2019 Jan 11",2458495.0396,"g", -26.33, 19.40,0.13, 20.69,"P48+ZTF","1","None","None",True,False
"2019 Jan 19",2458502.9707,"g", 99.0, 99.0,99.0, 18.67,"P48+ZTF","1","None","None",True,False
"2019 Jan 19",2458502.9707,"g", 99.0, 99.0,99.0, 18.67,"P48+ZTF","1","None","None",True,True
"2019 Jan 22",2458505.9826,"g", 99.0, 99.0,99.0, 18.79,"P48+ZTF","1","None","None",True,False
"2019 Jan 22",2458505.9826,"g", 99.0, 99.0,99.0, 18.79,"P48+ZTF","1","None","None",True,True
"2019 Jan 24",2458508.0369,"g", 99.0, 99.0,99.0, 19.32,"P48+ZTF","1","None","None",True,False
"2019 Jan 24",2458508.0369,"g", 99.0, 99.0,99.0, 19.32,"P48+ZTF","1","None","None",True,True
"2019 Jan 25",2458509.0181,"r", 99.0, 99.0,99.0, 19.49,"P48+ZTF","1","None","None",True,False
"2019 Jan 25",2458509.0181,"r", 99.0, 99.0,99.0, 19.49,"P48+ZTF","1","None","None",True,True
"2019 Jan 28",2458512.0016,"g", 99.0, 99.0,99.0, 19.76,"P48+ZTF","1","None","None",True,False
"2019 Jan 28",2458512.0016,"g", 99.0, 99.0,99.0, 19.76,"P48+ZTF","1","None","None",True,True
"2019 Feb 08",2458523.0198,"g", -26.35, 19.38,0.19, 20.44,"P48+ZTF","1","None","None",True,True
"2019 Feb 08",2458523.0457,"r", -27.39, 18.33,0.13, 20.58,"P48+ZTF","1","None","None",True,True
"2019 Feb 12",2458527.0231,"r", -26.86, 18.87,0.19, 19.96,"P48+ZTF","1","None","None",True,True
"2019 Feb 12",2458527.0447,"g", 99.0, 99.0,99.0, 20.04,"P48+ZTF","1","None","None",True,False
"2019 Feb 12",2458527.0447,"g", 99.0, 99.0,99.0, 20.04,"P48+ZTF","1","None","None",True,True
"2019 Feb 24",2458539.0434,"i", -27.57, 18.16,0.20, 18.46,"P48+ZTF","2","None","None",True,False
"2019 Feb 25",2458539.8723,"r", -26.58, 19.14,0.28, 19.08,"P48+ZTF","1","None","None",True,False
"2019 Mar 01",2458543.9603,"r", -26.74, 18.99,0.21, 20.19,"P48+ZTF","1","None","None",True,False
"2019 Mar 01",2458544.0047,"g", -26.56, 19.17,0.18, 19.94,"P48+ZTF","1","None","None",True,False
"2019 Mar 05",2458547.9170,"g", -26.48, 19.24,0.14, 20.48,"P48+ZTF","1","None","None",True,False
