 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 667 15 3 ZTF_g 482153445915 0 2.1798 94.0325 13.869 26.3226 2.10159e-05 0.0355337 -0.0516915 3.47571e-05 374 30. 0.055815 0.050843 19.5826 26.3226 1 2458236.6534491 667120159 5.23708372420081 64.469011183666 0.0903635551485288 0.989249543487483 -125.663195653351 113.896314584873 -1.11074309091735 1.06790192108804 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 20 667 15 3 ZTF_g 482204985915 0 2.0931 92.8121 14.2939 26.2938 2.80783e-05 0.0406201 -0.0201601 4.6244e-05 366 30. 0.060627 0.054727 19.5706 26.2938 1 2458236.7049884 667120159 44.3208951062064 68.837797532203 0.716203365254155 0.907954024961626 62.1067743475083 118.58751057608 0.527248331146417 1.08563736566986 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 21 667 15 3 ZTF_r 491186575915 0 1.8532 168.65 20.5195 25.3911 3.81249e-05 0.0495457 0.118072 5.39924e-05 431 30. 0.061658 0.054588 19.2296 26.275 1 2458245.6865741 667120259 64.4317549413215 77.3768577586943 0.926282954765728 1.16399837269117 213.041132082688 146.096952313882 1.46803867546652 1.04266092420275 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 22 667 15 3 ZTF_g 491212595915 0 2.6113 49.2032 6.00787 25.6534 6.96754e-05 0.0642371 -0.078134 0.000114583 368 30. 0.065757 0.057461 19.7013 25.6534 1 2458245.7125926 667120159 20.7809679211081 28.4649616846222 0.812100858281072 1.13185876205478 58.3216088980507 46.2148895017842 1.27046518822123 1.07362378655697 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 23 667 15 3 ZTF_i 492286355915 0 1.852 294.371 7.26633 25.5308 2.6249e-06 0.0205916 0.188823 9.25832e-06 439 30. 0.062916 0.050893 19.7503 25.5308 2 2458246.7863542 667120359 -9.87273723731475 26.729519928196 -0.410866961937913 1.01037582098634 -5.8592852354162 49.8386101973783 -0.11835698939495 1.04096917485548 0.139347427695146 18.976999912262 0.028999999165535 0.745999991893768 0.0329999998211861 2458173.748542 2458266.718287 0
 24 667 15 3 ZTF_r 494164725915 0 2.1159 168.574 6.5343 26.2212 8.7448e-06 0.0237983 0.111603 1.24661e-05 433 30. 0.056388 0.050027 20.4356 26.275 1 2458248.6647222 667120259 36.7276695178723 26.1376976008588 1.56307869601489 1.03340706684008 50.539168141012 49.3259370525334 1.03149692406289 1.03884834409876 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 25 667 15 3 ZTF_g 494174725915 0 2.2988 94.2405 5.03023 26.3559 1.29948e-05 0.0291925 -0.0818676 1.87177e-05 430 30. 0.057364 0.05306 20.7707 26.3559 1 2458248.6747222 667120159 -58.7704600734105 23.5128841455488 -2.78040453143849 0.865270640986672 -86.9851840718554 41.6800852768655 -2.10102819390991 1.05655851509174 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 26 667 15 3 ZTF_r 500171385915 0 2.0798 168.528 6.74403 26.2107 8.1267e-06 0.0228829 0.107739 1.15222e-05 434 30. 0.056927 0.050276 20.3893 26.275 1 2458254.6713889 667120259 -26.9397010726132 27.5089137747649 -1.08936679011885 0.900082604616513 50.7089881387693 52.1100296929081 0.979667760549533 1.04381934689295 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 27 667 15 3 ZTF_r 506171115915 0 1.9911 168.119 10.8585 26.1735 1.03191e-05 0.0259679 0.115735 1.48344e-05 429 30. 0.051193 0.051532 19.9064 26.275 1 2458260.6711111 667120259 -36.6376675667378 44.6991548335986 -0.911765819477346 0.974206498347586 -41.679686430427 82.6096539580903 -0.507935810236663 1.05233652662823 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 28 667 15 3 ZTF_i 507270025915 0 1.9861 268.815 10.5729 25.4438 5.3102e-06 0.0291095 0.184332 1.91828e-05 438 30. 0.076309 0.061069 19.2738 25.4438 2 2458261.7700231 667120359 -30.4392626406226 34.455772708976 -0.98271352917117 1.05756812577293 -88.9483828722676 63.9932254681229 -1.39932711147926 1.04078696582616 0.139347427695146 18.976999912262 0.028999999165535 0.745999991893768 0.0329999998211861 2458173.748542 2458266.718287 0
